,GRU,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fungsi Aktivasi,nomer,Batch Size,train mape,test mape,train rmse,test rmse,,,Fungsi Aktivasi,nomer,Batch Size,train mape,train rmse,,Fungsi Aktivasi,nomer,Batch Size,test mape,test rmse
SIgmoid,1,32,"0,6369%","0,5036%","4,8072","3,7387","Train MAPE: 0.006368614834646537, Test MAPE: 0.0050361647435030665 Train RMSE: 4.807248724533423, Test RMSE: 3.7386687528178686",naik,SIgmoid,1,32,"0,6369%","4,8072",,SIgmoid,1,32,"0,5036%","3,7387"
,2,64,"0,8324%","0,6824%","5,7757","4,9381","Train MAPE: 0.008324025560448624, Test MAPE: 0.0068239869952036155Train RMSE: 5.7756718081783, Test RMSE: 4.938091344744039",naik,,2,64,"0,8324%","5,7757",,,2,64,"0,6824%","4,9381"
,3,128,"0,8221%","0,5940%","5,6873","4,3922","Train MAPE: 0.008221274471303578, Test MAPE: 0.005940363600476962 Train RMSE: 5.687254856960697, Test RMSE: 4.392181636092837",naik,,3,128,"0,8221%","5,6873",,,3,128,"0,5940%","4,3922"
,average,,"0,7638%","0,5934%","5,4234","4,3563",,,,average,,"0,7638%","5,4234",,,average,,"0,5934%","4,3563"
Tanh,1,32,"0,8558%","0,3418%","4,2763","2,7047","Train MAPE: 0.008557652641223093, Test MAPE: 0.003418037374691057 Train RMSE: 4.27634922304555, Test RMSE: 2.704693791895621",turun,Tanh,1,32,"0,8558%","4,2763",,Tanh,1,32,"0,3418%","2,7047"
,2,64,"0,7532%","0,4531%","5,4534","3,5648","Train MAPE: 0.0075323688723218495, Test MAPE: 0.004531336360679973 Train RMSE: 5.4533603566285365, Test RMSE: 3.5647968604459517",turun,,2,64,"0,7532%","5,4534",,,2,64,"0,4531%","3,5648"
,3,128,"0,7532%","0,4531%","5,4534","3,5648","Train MAPE: 0.0075323688723218495, Test MAPE: 0.004531336360679973 Train RMSE: 5.4533603566285365, Test RMSE: 3.5647968604459517",turun,,3,128,"0,7532%","5,4534",,,3,128,"0,4531%","3,5648"
,average,,"0,7874%","0,4160%","5,0610","3,2781",,,,average,,"0,7874%","5,0610",,,average,,"0,4160%","3,2781"
