Date,open,high,low,close,Volume,MA
26/11/2007,86,86,85,85,50720000,"89,2"
27/11/2007,85,85,83,85,30050000,"88,33333333"
28/11/2007,85,87,85,85,36685000,"87,26666667"
29/11/2007,85,87,85,85,29600000,"86,33333333"
30/11/2007,85,85,85,85,52910000,"85,66666667"
03/12/2007,85,85,85,85,120385000,"85,33333333"
04/12/2007,85,85,84,85,13835000,"85,26666667"
05/12/2007,86,87,86,86,33230000,"85,33333333"
06/12/2007,86,86,85,86,27300000,"85,26666667"
07/12/2007,85,86,85,85,40775000,"85,26666667"
10/12/2007,85,85,83,85,11670000,"85,33333333"
11/12/2007,84,84,84,84,835000,"85,13333333"
12/12/2007,84,85,82,84,25870000,"85,06666667"
13/12/2007,84,85,84,84,26410000,85
14/12/2007,84,85,84,85,10850000,"84,93333333"
17/12/2007,83,84,82,83,35125000,"84,8"
18/12/2007,82,82,81,82,14550000,"84,6"
19/12/2007,82,82,81,82,8235000,"84,4"
26/12/2007,82,83,81,82,18010000,"84,2"
27/12/2007,82,84,82,82,31540000,84
28/12/2007,82,87,83,87,50870000,"84,13333333"
31/12/2007,87,87,87,87,0,"84,26666667"
02/01/2008,84,87,83,84,28925000,"84,13333333"
03/01/2008,84,84,83,84,27500000,84
04/01/2008,84,84,83,84,3515000,"83,93333333"
07/01/2008,84,84,83,84,6735000,"83,86666667"
08/01/2008,83,83,83,83,41365000,"83,8"
09/01/2008,84,84,82,84,95000000,"83,8"
14/01/2008,84,84,83,84,8425000,"83,8"
15/01/2008,84,84,83,84,22560000,"83,73333333"
16/01/2008,84,84,82,84,945000,"83,8"
17/01/2008,84,84,83,84,12375000,"83,93333333"
18/01/2008,84,84,83,84,3780000,"84,06666667"
21/01/2008,82,85,82,82,5580000,"84,06666667"
22/01/2008,82,84,75,82,14870000,"84,06666667"
23/01/2008,82,82,80,82,6455000,"83,73333333"
24/01/2008,82,82,82,82,2510000,"83,4"
25/01/2008,82,83,82,82,255000,"83,26666667"
28/01/2008,81,81,81,81,250000,"83,06666667"
29/01/2008,84,84,81,84,17990000,"83,06666667"
30/01/2008,84,85,84,84,2285000,"83,06666667"
31/01/2008,84,84,84,84,3090000,"83,13333333"
01/02/2008,87,87,84,87,4075000,"83,33333333"
04/02/2008,87,87,86,87,10130000,"83,53333333"
05/02/2008,90,90,87,90,57615000,"83,93333333"
06/02/2008,90,89,88,89,5265000,"84,26666667"
11/02/2008,89,89,88,89,14465000,"84,6"
12/02/2008,92,92,90,92,146785000,"85,13333333"
13/02/2008,91,91,90,91,12650000,"85,73333333"
14/02/2008,94,94,91,94,32420000,"86,53333333"
15/02/2008,92,95,92,95,32185000,"87,4"
18/02/2008,95,95,95,95,73580000,"88,26666667"
19/02/2008,96,97,95,96,23690000,"89,2"
20/02/2008,99,99,96,99,84290000,"90,4"
21/02/2008,100,102,99,100,116265000,"91,46666667"
22/02/2008,102,102,100,102,36320000,"92,66666667"
25/02/2008,100,101,100,100,32895000,"93,73333333"
26/02/2008,100,100,99,100,56110000,"94,6"
27/02/2008,100,101,99,100,44230000,"95,46666667"
28/02/2008,100,101,99,100,68585000,"96,13333333"
29/02/2008,100,100,99,100,30120000,"96,86666667"
03/03/2008,100,100,98,100,45785000,"97,6"
04/03/2008,99,100,98,99,27835000,"98,06666667"
05/03/2008,101,101,99,101,115430000,"98,73333333"
06/03/2008,100,101,100,100,8685000,"99,13333333"
10/03/2008,99,100,99,99,20100000,"99,4"
11/03/2008,100,100,99,100,115150000,"99,73333333"
12/03/2008,100,101,99,100,71105000,100
13/03/2008,99,100,99,99,10250000,100
14/03/2008,99,100,98,99,94460000,"99,93333333"
17/03/2008,97,98,97,98,38800000,"99,66666667"
18/03/2008,97,97,96,96,22525000,"99,4"
19/03/2008,97,97,97,97,13075000,"99,2"
24/03/2008,96,97,96,96,17390000,"98,93333333"
25/03/2008,100,100,97,100,18365000,"98,93333333"
26/03/2008,101,101,99,101,35265000,99
27/03/2008,100,101,100,100,7920000,99
28/03/2008,100,100,100,100,9125000,"99,06666667"
31/03/2008,101,101,100,101,585000,"99,06666667"
01/04/2008,101,101,100,100,98425000,"99,06666667"
02/04/2008,103,103,100,103,17060000,"99,33333333"
03/04/2008,100,102,100,100,101640000,"99,33333333"
04/04/2008,100,100,99,99,13775000,"99,26666667"
07/04/2008,99,99,98,98,7805000,"99,2"
08/04/2008,98,98,93,93,68840000,"98,8"
09/04/2008,90,92,89,90,61500000,"98,26666667"
10/04/2008,95,95,91,95,37765000,"98,2"
11/04/2008,95,95,95,95,7750000,"98,06666667"
14/04/2008,96,96,96,96,2085000,"98,06666667"
15/04/2008,95,96,95,95,9460000,"97,73333333"
16/04/2008,95,97,95,95,2025000,"97,33333333"
17/04/2008,98,98,95,98,12140000,"97,2"
18/04/2008,97,97,97,97,15100000,97
21/04/2008,97,97,97,97,17680000,"96,73333333"
22/04/2008,97,97,97,97,8665000,"96,53333333"
23/04/2008,97,97,96,97,12530000,"96,13333333"
24/04/2008,97,97,97,97,7500000,"95,93333333"
25/04/2008,97,97,97,97,30,"95,8"
28/04/2008,97,97,97,97,2500000,"95,73333333"
29/04/2008,97,97,97,97,8500000,96
30/04/2008,96,96,95,95,18000000,"96,33333333"
05/05/2008,95,96,95,96,25970000,"96,4"
06/05/2008,96,96,95,96,5000000,"96,46666667"
07/05/2008,95,95,95,95,100000,"96,4"
08/05/2008,95,95,95,95,5000000,"96,4"
09/05/2008,95,95,95,95,5000000,"96,4"
12/05/2008,95,95,95,95,0,"96,2"
13/05/2008,95,96,94,94,49140000,96
14/05/2008,94,94,94,94,0,"95,8"
15/05/2008,95,95,95,95,7500000,"95,66666667"
16/05/2008,94,94,94,94,6240000,"95,46666667"
21/05/2008,97,97,95,96,8500000,"95,4"
22/05/2008,95,95,95,95,2025000,"95,26666667"
23/05/2008,97,98,97,97,9050000,"95,26666667"
26/05/2008,96,96,96,96,850000,"95,2"
27/05/2008,95,95,95,95,2200000,"95,2"
28/05/2008,94,94,94,94,15010000,"95,06666667"
29/05/2008,94,96,94,96,21560000,"95,06666667"
30/05/2008,94,94,94,94,10000,95
02/06/2008,95,95,95,95,25000,95
03/06/2008,95,95,95,95,140000,95
04/06/2008,95,95,95,95,140000,95
05/06/2008,95,95,95,95,5500000,"95,06666667"
06/06/2008,95,96,95,95,33100000,"95,13333333"
09/06/2008,92,94,92,92,30875000,"94,93333333"
10/06/2008,92,92,92,92,17050000,"94,8"
11/06/2008,92,92,92,92,30,"94,53333333"
12/06/2008,92,92,92,92,30,"94,33333333"
13/06/2008,92,92,92,92,0,94
16/06/2008,92,92,92,92,30,"93,73333333"
17/06/2008,91,91,91,91,5000000,"93,46666667"
18/06/2008,92,92,91,92,5025000,"93,33333333"
19/06/2008,92,92,92,92,30,"93,06666667"
20/06/2008,91,91,91,91,210000,"92,86666667"
23/06/2008,90,90,90,90,10025000,"92,53333333"
24/06/2008,88,89,88,88,31585000,"92,06666667"
25/06/2008,88,88,88,88,10050000,"91,6"
26/06/2008,88,88,88,88,12250000,"91,13333333"
27/06/2008,87,87,87,87,5000,"90,6"
30/06/2008,87,87,87,87,5000,"90,26666667"
01/07/2008,88,88,88,88,10000000,90
02/07/2008,88,88,88,88,4860000,"89,73333333"
03/07/2008,87,87,87,87,20000,"89,4"
04/07/2008,88,88,88,88,10050000,"89,13333333"
07/07/2008,88,88,87,88,1250000,"88,86666667"
08/07/2008,89,89,88,89,15000000,"88,73333333"
09/07/2008,90,91,89,90,36335000,"88,6"
10/07/2008,90,90,89,90,35985000,"88,46666667"
11/07/2008,90,90,90,90,10000000,"88,4"
14/07/2008,90,90,90,90,30,"88,4"
15/07/2008,90,90,90,90,65000000,"88,53333333"
16/07/2008,90,90,90,90,25000000,"88,66666667"
17/07/2008,90,90,89,90,28030000,"88,8"
18/07/2008,89,90,89,89,52200000,"88,93333333"
21/07/2008,90,90,90,90,15255000,"89,13333333"
22/07/2008,90,90,90,90,20000,"89,26666667"
23/07/2008,92,93,90,92,28525000,"89,53333333"
24/07/2008,92,92,90,92,21535000,"89,86666667"
25/07/2008,91,91,90,91,3255000,"90,06666667"
28/07/2008,91,91,91,91,5000000,"90,26666667"
29/07/2008,91,91,91,91,7500000,"90,4"
31/07/2008,91,91,90,91,13025000,"90,46666667"
01/08/2008,91,91,91,91,30805000,"90,53333333"
04/08/2008,91,91,91,91,48650000,"90,6"
05/08/2008,91,91,91,91,150000,"90,66666667"
06/08/2008,94,96,91,94,34705000,"90,93333333"
07/08/2008,94,94,94,94,2265000,"91,2"
08/08/2008,94,94,93,94,4890000,"91,46666667"
11/08/2008,93,93,93,93,2905000,"91,73333333"
12/08/2008,96,96,93,96,11615000,"92,13333333"
13/08/2008,93,94,93,93,2795000,"92,33333333"
14/08/2008,93,93,93,93,30,"92,4"
15/08/2008,93,93,93,93,250000,"92,46666667"
19/08/2008,93,93,93,93,30,"92,6"
20/08/2008,93,93,93,93,30,"92,73333333"
21/08/2008,93,93,93,93,750000,"92,86666667"
22/08/2008,93,93,93,93,20000,93
25/08/2008,93,93,93,93,20000,"93,13333333"
26/08/2008,93,93,93,93,20000,"93,26666667"
27/08/2008,94,94,94,94,1100000,"93,46666667"
28/08/2008,94,94,94,94,30,"93,46666667"
29/08/2008,94,94,94,94,30,"93,46666667"
01/09/2008,94,94,94,94,30,"93,46666667"
02/09/2008,95,95,94,95,18885000,"93,6"
03/09/2008,95,95,95,95,30,"93,53333333"
04/09/2008,95,95,94,95,10030000,"93,66666667"
05/09/2008,95,95,95,95,30,"93,8"
08/09/2008,95,95,95,95,30,"93,93333333"
09/09/2008,91,93,91,91,25500000,"93,8"
10/09/2008,91,91,91,91,1000000,"93,66666667"
11/09/2008,91,91,91,91,1000000,"93,53333333"
12/09/2008,91,91,91,91,72500000,"93,4"
15/09/2008,89,91,89,89,21500000,"93,13333333"
16/09/2008,90,90,88,90,5895000,"92,93333333"
17/09/2008,90,90,90,90,30,"92,66666667"
18/09/2008,88,89,88,88,16050000,"92,26666667"
19/09/2008,90,90,89,90,7280000,92
22/09/2008,90,90,90,90,30,"91,73333333"
23/09/2008,90,90,90,90,30,"91,4"
24/09/2008,90,90,90,90,30,"91,06666667"
25/09/2008,90,90,90,90,30,"90,73333333"
26/09/2008,90,90,90,90,30,"90,4"
06/10/2008,88,88,88,88,50000,"89,93333333"
07/10/2008,87,88,87,87,3200000,"89,66666667"
08/10/2008,86,86,86,86,7500000,"89,33333333"
09/10/2008,86,86,86,86,0,89
10/10/2008,86,86,86,86,0,"88,66666667"
13/10/2008,86,86,86,86,30,"88,46666667"
14/10/2008,87,87,87,87,19330000,"88,26666667"
15/10/2008,85,85,85,85,20115000,"87,93333333"
16/10/2008,85,85,85,85,0,"87,73333333"
17/10/2008,85,85,85,85,20,"87,4"
20/10/2008,85,85,85,85,0,"87,06666667"
21/10/2008,85,85,85,85,30,"86,73333333"
22/10/2008,85,85,85,85,30,"86,4"
23/10/2008,80,80,79,80,4255000,"85,73333333"
24/10/2008,80,80,80,80,0,"85,06666667"
27/10/2008,76,76,72,72,26500000,84
28/10/2008,69,69,66,69,1660000,"82,8"
29/10/2008,69,70,69,69,8650000,"81,66666667"
30/10/2008,69,69,69,69,30,"80,53333333"
31/10/2008,69,75,69,75,39355000,"79,8"
03/11/2008,73,79,73,79,38425000,"79,33333333"
04/11/2008,77,77,77,77,265000,"78,66666667"
05/11/2008,78,78,77,78,5005000,"78,2"
06/11/2008,75,77,75,75,7575000,"77,53333333"
07/11/2008,75,75,75,75,7500000,"76,86666667"
10/11/2008,74,74,73,74,7555000,"76,13333333"
11/11/2008,71,72,71,71,44200000,"75,2"
12/11/2008,71,71,71,71,30,"74,26666667"
13/11/2008,68,70,68,68,14050000,"73,46666667"
14/11/2008,68,70,68,68,14050000,"72,66666667"
17/11/2008,67,68,67,67,30510000,"72,33333333"
18/11/2008,67,67,67,67,8990000,"72,2"
19/11/2008,66,66,66,66,14800000,72
20/11/2008,66,66,66,66,7500000,"71,8"
21/11/2008,74,74,71,74,10000000,"71,73333333"
24/11/2008,73,74,73,73,7000000,"71,33333333"
25/11/2008,73,73,73,73,3250000,"71,06666667"
26/11/2008,73,73,73,73,8000000,"70,73333333"
27/11/2008,73,73,73,73,8000000,"70,6"
28/11/2008,76,81,76,80,153600000,"70,93333333"
01/12/2008,78,78,78,78,205000,"71,2"
02/12/2008,78,78,78,78,30,"71,66666667"
03/12/2008,78,78,78,78,30,"72,13333333"
04/12/2008,76,76,76,76,10000,"72,66666667"
05/12/2008,76,76,76,76,10000,"73,2"
09/12/2008,76,76,76,76,10000,"73,8"
10/12/2008,76,76,76,76,7500000,"74,4"
11/12/2008,76,76,76,76,3980000,"75,06666667"
12/12/2008,76,76,76,76,30,"75,73333333"
15/12/2008,77,77,76,77,10010000,"75,93333333"
16/12/2008,76,82,76,76,129650000,"76,13333333"
17/12/2008,76,76,76,76,30,"76,33333333"
18/12/2008,75,75,75,75,210000,"76,46666667"
19/12/2008,75,75,75,75,7500000,"76,6"
22/12/2008,75,75,75,75,30,"76,26666667"
23/12/2008,75,75,75,75,30,"76,06666667"
24/12/2008,75,75,75,75,30,"75,86666667"
30/12/2008,75,75,75,75,10,"75,66666667"
31/12/2008,75,75,75,75,0,"75,6"
05/01/2009,74,74,74,74,10000000,"75,46666667"
06/01/2009,74,74,72,72,22600000,"75,2"
07/01/2009,77,77,74,77,245000,"75,26666667"
08/01/2009,77,77,77,77,30,"75,33333333"
09/01/2009,78,78,72,78,40340000,"75,46666667"
12/01/2009,72,74,72,72,25000000,"75,13333333"
13/01/2009,72,72,72,72,15000,"74,86666667"
14/01/2009,67,70,67,67,32115000,"74,26666667"
15/01/2009,63,64,63,63,18000000,"73,46666667"
16/01/2009,70,70,70,70,25000,"73,13333333"
19/01/2009,63,65,63,63,17500000,"72,33333333"
20/01/2009,63,70,61,70,22005000,72
21/01/2009,71,81,70,71,142205000,"71,73333333"
22/01/2009,63,64,63,63,2730000,"70,93333333"
23/01/2009,63,64,63,63,2730000,"70,13333333"
27/01/2009,63,64,63,63,2730000,"69,4"
28/01/2009,63,63,63,63,20,"68,8"
29/01/2009,63,63,63,63,0,"67,86666667"
30/01/2009,63,63,63,63,20,"66,93333333"
02/02/2009,63,63,63,63,20,"65,93333333"
03/02/2009,63,63,63,63,20,"65,33333333"
04/02/2009,63,63,63,63,20,"64,73333333"
05/02/2009,63,63,63,63,20,"64,46666667"
06/02/2009,63,63,63,63,30,"64,46666667"
09/02/2009,64,64,61,64,165000,"64,06666667"
10/02/2009,64,64,64,64,30,"64,13333333"
11/02/2009,64,64,64,64,30,"63,73333333"
12/02/2009,64,65,64,64,25125000,"63,26666667"
13/02/2009,64,64,64,64,30,"63,33333333"
16/02/2009,64,64,64,64,50000,"63,4"
17/02/2009,63,63,63,63,25000,"63,4"
18/02/2009,63,63,63,63,30,"63,4"
19/02/2009,63,63,63,63,30,"63,4"
20/02/2009,63,63,63,63,30,"63,4"
23/02/2009,63,63,63,63,30,"63,4"
24/02/2009,63,63,63,63,30,"63,4"
25/02/2009,63,63,63,63,30,"63,4"
26/02/2009,65,65,65,65,75000,"63,53333333"
27/02/2009,65,65,65,65,30,"63,66666667"
02/03/2009,65,65,65,65,4595000,"63,73333333"
03/03/2009,65,65,65,65,30,"63,8"
04/03/2009,65,65,65,65,30,"63,86666667"
05/03/2009,65,65,65,65,30,"63,93333333"
06/03/2009,65,65,65,65,30,64
10/03/2009,65,65,65,65,30,"64,06666667"
11/03/2009,65,65,65,65,30,"64,2"
12/03/2009,65,65,65,65,30,"64,33333333"
13/03/2009,65,65,65,65,30,"64,46666667"
16/03/2009,65,65,65,65,30,"64,6"
17/03/2009,65,65,65,65,30,"64,73333333"
18/03/2009,65,65,65,65,0,"64,86666667"
19/03/2009,66,66,66,66,7500000,"65,06666667"
20/03/2009,66,66,66,66,30,"65,13333333"
23/03/2009,65,65,65,65,7500000,"65,13333333"
24/03/2009,65,65,65,65,7500000,"65,13333333"
25/03/2009,66,66,66,66,165000,"65,2"
27/03/2009,66,66,66,66,30,"65,26666667"
30/03/2009,66,66,66,66,30,"65,33333333"
31/03/2009,69,69,69,69,5000,"65,6"
01/04/2009,68,68,68,68,5000,"65,8"
02/04/2009,71,71,68,71,215000,"66,2"
03/04/2009,73,73,73,73,5000,"66,73333333"
06/04/2009,73,73,73,73,40000,"67,26666667"
07/04/2009,73,73,73,73,30,"67,8"
08/04/2009,71,75,71,75,130000,"68,46666667"
09/04/2009,75,75,75,75,0,"69,13333333"
13/04/2009,73,74,73,73,2515000,"69,6"
14/04/2009,75,75,75,75,5000,"70,2"
15/04/2009,76,76,74,76,2505000,"70,93333333"
16/04/2009,74,75,74,74,7500000,"71,53333333"
17/04/2009,76,76,76,76,55000,"72,2"
20/04/2009,78,78,78,78,55000,73
22/04/2009,78,78,78,78,0,"73,8"
23/04/2009,76,77,76,76,2555000,"74,26666667"
24/04/2009,76,78,76,76,25000,"74,8"
27/04/2009,76,76,76,76,30,"75,13333333"
28/04/2009,78,78,78,78,5000,"75,46666667"
29/04/2009,80,80,80,80,10000,"75,93333333"
30/04/2009,80,80,80,80,2600000,"76,4"
01/05/2009,80,80,80,80,30,"76,73333333"
04/05/2009,80,80,80,80,50000,"77,06666667"
05/05/2009,81,82,80,81,11120000,"77,6"
06/05/2009,81,81,80,81,5045000,78
07/05/2009,83,83,83,83,1400000,"78,46666667"
08/05/2009,86,86,85,86,2590000,"79,26666667"
11/05/2009,85,85,85,85,945000,"79,86666667"
12/05/2009,85,85,85,85,30,"80,33333333"
13/05/2009,85,85,85,85,30,"80,8"
14/05/2009,84,84,84,84,2665000,"81,33333333"
15/05/2009,87,87,85,87,8190000,"82,06666667"
18/05/2009,86,87,86,86,2255000,"82,73333333"
19/05/2009,88,88,88,88,13720000,"83,4"
20/05/2009,88,88,88,88,30,"83,93333333"
21/05/2009,88,88,88,88,0,"84,46666667"
22/05/2009,90,90,90,90,2000000,"85,13333333"
25/05/2009,92,92,92,92,1000000,"85,93333333"
26/05/2009,92,93,92,92,3715000,"86,66666667"
27/05/2009,92,92,92,92,250000,"87,4"
28/05/2009,92,92,92,92,780000,88
29/05/2009,92,92,92,92,800000,"88,4"
01/06/2009,93,93,92,93,12530000,"88,93333333"
02/06/2009,93,93,92,93,17925000,"89,46666667"
03/06/2009,94,94,93,94,12060000,"90,06666667"
04/06/2009,94,94,93,94,63080000,"90,73333333"
05/06/2009,94,95,93,94,44725000,"91,2"
08/06/2009,93,93,91,93,162985000,"91,66666667"
09/06/2009,94,94,94,94,50000000,"92,06666667"
10/06/2009,94,94,94,94,7050000,"92,46666667"
11/06/2009,94,94,94,94,30,"92,86666667"
12/06/2009,94,94,94,94,30,"93,13333333"
15/06/2009,93,93,93,93,10000000,"93,2"
16/06/2009,93,93,93,93,30,"93,26666667"
17/06/2009,93,93,93,93,30,"93,33333333"
18/06/2009,92,92,92,92,60000,"93,33333333"
19/06/2009,93,93,93,93,75000,"93,4"
22/06/2009,94,94,93,94,800000,"93,46666667"
23/06/2009,94,94,90,94,6290000,"93,53333333"
24/06/2009,93,94,93,93,359230000,"93,46666667"
25/06/2009,93,93,93,93,30,"93,4"
26/06/2009,92,92,91,92,1760000,"93,26666667"
29/06/2009,92,92,92,92,30,"93,2"
30/06/2009,92,92,92,92,250000,"93,06666667"
01/07/2009,92,92,92,92,250000,"92,93333333"
02/07/2009,93,94,93,94,7300000,"92,93333333"
03/07/2009,93,93,93,93,4005000,"92,86666667"
06/07/2009,93,93,93,93,9000000,"92,86666667"
07/07/2009,93,93,93,93,14750000,"92,86666667"
08/07/2009,93,93,93,93,0,"92,86666667"
09/07/2009,93,93,92,93,11700000,"92,93333333"
10/07/2009,93,94,93,94,4150000,93
13/07/2009,93,93,93,93,17055000,"92,93333333"
14/07/2009,93,93,93,93,30,"92,86666667"
15/07/2009,93,93,92,93,143785000,"92,86666667"
16/07/2009,93,93,93,93,25000,"92,86666667"
17/07/2009,96,96,94,96,18750000,"93,13333333"
20/07/2009,96,96,96,96,0,"93,4"
21/07/2009,97,97,97,97,5000,"93,73333333"
22/07/2009,97,97,97,97,30,"94,06666667"
23/07/2009,98,98,96,98,200000,"94,33333333"
24/07/2009,98,98,98,98,30,"94,66666667"
27/07/2009,97,97,97,97,670000,"94,93333333"
